"双南带大花园精装修全明户型，三十而已，您的安居选择,https://sh.lianjia.com/ershoufang/107103189754.html"
"房屋户型,2室1厅1厨1卫"
"所在楼层,低楼层 (共6层)"
"建筑面积,63.07㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,砖混结构"
"装修情况,精装"
"梯户比例,一梯四户"
"配备电梯,无"
"此房满五年不唯一，双南带大花园精装修全明户型，采光好,核心卖点"
"小区交通便捷：轨道交通8号线，市光路地铁站步行可达，公交站点出门居多；小区南门966公交站点；北门市光路包头路61路;329路;577路[低谷定班];726路;842路;942路；金融单位：中国银行包头路支行，二级甲等医院：市东医院；三级甲等医院：长海医院,小区介绍"
"此房两室一厅，全明户型，户型正气，带大花园，得房率高，房子都有窗户，通风效果不错，房子新，商品房，品质有保障。,户型介绍"
"满五年不唯一，有个税；房子是商品房建造，为普宅没有增值税，税费少,税费解析"
"设施齐全；太平洋生活广场；欧尚大型超市；地铁八号线；市东医院；长海医院；银行分布点很多（交通银行；工商银行；中国银行）,周边配套"
"地铁八号线；公交（537路; 329路; 726路; 842路; 942路；966路）,交通出行"
"此房买进满五年 精装修 南北户型 户型好 高品质小区,https://sh.lianjia.com/ershoufang/107103169472.html"
"房屋户型,2室2厅1厨1卫"
"所在楼层,低楼层 (共15层)"
"建筑面积,95.98㎡"
"户型结构,平层"
"套内面积,95.98㎡"
"建筑类型,板楼"
"房屋朝向,南 北"
"建筑结构,钢混结构"
"装修情况,精装"
"梯户比例,一梯两户"
"配备电梯,有"
"此房买进满五年 精装修 南北户型 户型好 高品质小区 诚意出售,核心卖点"
"维多利华庭地处浦东洋泾地区苗圃路、定水路近张杨路。小区总占地面积4.9公顷，总建筑面积，由2幢12层小高层、7幢14层小高层和1幢18层小高层组成，主要房型为二房100平方米左右、三房130平方米左右。会所和绿化按英式园林风格设计，达到45%，绿化好。,小区介绍"
"小区附·近设施齐全，餐厅 医院 地铁 公交 菜市场 超市等等，适宜多种人群生活居住,适宜人群"
"此房是2005年建成的，一梯两户，两房，厅朝南，一房朝南，一房朝北，南北户型，户型好。,户型介绍"
"小区一公里内有：三甲公利医院，置地旭辉购物广场，栖山农贸菜市场，6号线北洋泾路站和在建14号18号地铁站，值得陆家嘴公交车站，超市等等，配套设施齐全，生活便利。,周边配套"
"小区距离在用6号线地铁站直线距离450米左右，距离在建14号线地铁站直线距离650米左右，距离在建18号线地铁站直线距离750米左右，小区出北门左拐200米左右有直达陆家嘴金融区公交车站，交通方便。,交通出行"
"昌四好房 一梯两户 采光好无遮挡 近地铁站！！,https://sh.lianjia.com/ershoufang/107103170667.html"
"房屋户型,2室1厅1厨1卫"
"所在楼层,低楼层 (共6层)"
"建筑面积,56.06㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,砖混结构"
"装修情况,精装"
"梯户比例,一梯两户"
"配备电梯,无"
"近地铁。交通方便，中间楼层，采光充足，看房方便,核心卖点"
"小区处于世博板块.小区房子是1994-1996建成，一共有4个弄，分别是500弄，550弄，1696弄，1550弄，小区经多年发展，其环境及配套很适合居住；小区楼栋总数129栋，房屋总数2592户。此小区 交通便利配套成熟，自住出租皆宜,小区介绍"
"中间楼层，适用人群都可以，近地铁，出行比较方便，配套齐全，适合居住，，适合老人，年轻人居住，,适宜人群"
"贷款抵押：房子目前无贷款抵押，业主诚意出售 售房原因：业主这边售房原因是为了置换,售房详情"
"小区北门往东100米是昌里东路小吃街，生活设施配套完善，逛街购物饮食吃喝玩乐一条街，盒马生鲜，沃尔玛、家乐福，好又多，乐荟广场（遛娃好去处）地铁6/7/13号线,多条公交线路，出行向西步行可到周家渡社区医院.,周边配套"
"四线交汇 6/7/8/13号线，隧道三线：西藏南路隧道、打浦路隧道、龙耀路隧道，隧道九线，隧道一线；卢浦大桥、南浦大桥，最近的地铁站是6.13号线东明路站，下楼步行600米到4号口，小区门口就是公交站，陆家嘴、徐汇、人民广场、南京西路、张江都可直达,交通出行"
"满五唯一 户型正气 高区采光好 带大露台 诚意出售,https://sh.lianjia.com/ershoufang/107103189641.html"
"房屋户型,4室2厅1厨2卫"
"所在楼层,高楼层 (共9层)"
"建筑面积,169㎡"
"户型结构,复式"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,钢混结构"
"装修情况,精装"
"梯户比例,一梯两户"
"配备电梯,有"
"视野开阔 采光好 满五唯一 免个税 业主诚意出售,核心卖点"
"2003年由上海金樱房地产发展有限公司开发建设，小区有中景观大道和景观湖，绿地覆盖率高,小区介绍"
"本房是顶楼复式，精装，有露台，适合一家三代人入住，老少皆宜。。,户型介绍"
"精装修，业主之前一直自住的，墙体和地面都保护的不错，基本可拎包入住，所用家具家电都是大品牌,装修描述"
"小区东出口有公交站，闵行13路，156路，162路，180路等。西口有闵行27路，可直达莘庄地铁口,交通出行"
"店长推荐：优质房源，两房中楼层，交通便捷配套全,https://sh.lianjia.com/ershoufang/107103151654.html"
"房屋户型,2室1厅1厨1卫"
"所在楼层,中楼层 (共6层)"
"建筑面积,51.49㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,砖混结构"
"装修情况,精装"
