问题:辩证法所要回答的是世界是否可知的问题。（    ）,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：1","
【解析】辩证法即思辩与实证相统一的方法。辩证法是关于对立统一、斗争和运动、普遍联系和变化发展的哲学学说。马克思主义认为，辩证法是关于普遍联系的科学，是在肯定矛盾的基础上关于发展的学说，是关于自然、人类社会和思维发展的最一般规律的科学。辩证法主张用联系的、发展的、全面的观点看问题，与此对立的观点是形而上学，形而上学坚持用孤立的、静止的、片面的观点看问题，因此，辩证法回答的是世界的状况是怎样的问题。世界是否可知是划分可知论与不可知论的依据。故表述错误。","
来源:2013年6月四川省宜宾市事业单位考试《公共科目》题（精选）第1题","
出错率：72.37%","
易错选项：0"
问题:“假定一切物质都具有在本质上跟感觉相近的特性、反映的特性，这是合乎逻辑的。”这是(  )。,,"
选项：['A', '.', '主', '观', '唯', '心', '主', '义', '观', '点', '\n', 'B', '.', '相', '对', '主', '义', '诡', '辩', '论', '观', '点', '\n', 'C', '.', '辩', '证', '唯', '物', '主', '义', '观', '点', '\n', 'D', '.', '形', '而', '上', '学', '唯', '物', '主', '义', '观', '点', '\n']","
答案：2","
【解析】“假定一切物质都具有在本质上跟感觉相近的特性、反映的特性，这是合乎逻辑的。”这是列宁的观点，强调正是由于一切物质都具有反映的特性，即反映外界作用的能力，所以在一定条件下能够发展成为最高级的反映形式——人脑的反映形式即意识。这说明意识从自然界产生出来不是偶然的，而是必然的、合乎规律的。因此题中观点属于辩证唯物主义的观点。故正确答案为C。","
来源:2014年5月四川省宜宾市事业单位考试《公共基础知识》题（精选）第66题","
出错率：23.92%","
易错选项：0"
问题:习近平总书记强调，要把坚定理想信念作为党的思想建设的首要任务，教育引导全党牢记党的宗旨，挺起共产党人的精神脊梁，解决好世界观、人生观、价值观这个“总开关”问题。这是因为[u]      [/u]。,,"
选项：['A', '.', '有', '什', '么', '样', '的', '社', '会', '存', '在', '就', '有', '什', '么', '样', '的', '社', '会', '意', '识', '\n', 'B', '.', '正', '确', '的', '意', '识', '具', '有', '指', '导', '人', '们', '改', '造', '世', '界', '的', '功', '能', '\n', 'C', '.', '客', '观', '情', '况', '变', '了', '主', '观', '也', '要', '发', '生', '相', '应', '的', '变', '化', '\n', 'D', '.', '有', '什', '么', '样', '的', '世', '界', '观', '就', '有', '什', '么', '样', '的', '方', '法', '论', '\n']","
答案：1,3","
【解析】本题考查哲学常识。辩证唯物主义认为，物质决定意识，意识是对物质的反映，意识对物质具有能动的反作用，正确的意识会促进客观事物的发展，错误的意识会阻碍客观事物的发展。A项错误，社会存在决定社会意识，社会意识受社会存在的制约。“有什么样的社会存在就有什么样的社会意识”是指社会意识的内容来源于社会存在，或者说社会存在是社会意识产生的根源。强调社会存在决定社会意识，与题干无关。B项正确，物质决定意识，意识对物质具有能动的反作用，正确的意识能够指导人们积极的改造客观世界，因此我们要坚定理想信念，牢记党的宗旨，解决好世界观、人生观、价值观这个“总开关”。C项错误，题干中说的是要解决世界观、人生观、价值观这个“总开关”问题，也就是说要有正确的意识，用正确的意识指导实践，并没有提到客观情况发生了变化。因此，C选项中说客观发生变化主观就要相应变化，与题干无关。D项正确，世界观是人们对整个世界的基本看法和观点，方法论是指人们认识世界和改造世界所遵循的根本方法，世界观决定方法论，方法论体现世界观，因此我们要培养正确的、科学的世界观，坚定理想信念。故正确答案为BD。","
来源:2018年3月18日山东省事业单位省属综合类考试题（客观题部分满分70分）第73题","
出错率：38.66%","
易错选项：0"
问题:2013年6月，我国成功发射的“神舟”十号与天宫一号成功交会对接，并首次开设了“太空一地面”课堂，12月，“嫦娥三号”又将玉兔车送到月球，这一次又一次的壮举是全国人民齐心协力、团结奋斗的伟大力量的结果。这一事实体现的哲学道理对我们的启示有（  ）。,,"
选项：['A', '.', '社', '会', '主', '义', '国', '家', '能', '集', '中', '力', '量', '办', '大', '事', '\n', 'B', '.', '掌', '握', '系', '统', '优', '化', '方', '法', '具', '有', '重', '要', '意', '义', '\n', 'C', '.', '发', '挥', '主', '观', '能', '动', '性', '就', '能', '创', '造', '任', '何', '奇', '迹', '\n', 'D', '.', '认', '识', '世', '界', '和', '改', '造', '世', '界', '要', '运', '用', '综', '合', '思', '维', '的', '方', '法', '\n']","
答案：1,3","
【解析】A项错误，其并不是一个很严谨的哲学观点，说的是社会主义国家的作用，而题目主要说的人民的作用。C项错误，主观能动性只能推动客观世界的发展，主观能动性不能创造客观世界。B、D项符合题干要求。故正确答案为BD。","
来源:2014年5月山西省直事业单位《公共基础知识》题（部分）第102题","
出错率：29.82%","
易错选项：0"
问题:历史唯心主义是把社会现象及其发展的最终原因归根结底为精神因素的社会历史观，下列观点属于唯心史观的有（    ）。,,"
选项：['A', '.', '上', '帝', '创', '造', '人', '类', '\n', 'B', '.', '历', '史', '是', '英', '雄', '创', '造', '的', '\n', 'C', '.', '社', '会', '存', '在', '决', '定', '社', '会', '意', '识', '\n', 'D', '.', '人', '民', '是', '历', '史', '的', '创', '造', '者', '\n']","
答案：0,1","
【解析】本题考查的是唯心史观。唯心史观与唯物史观是根本对立的两种观点，唯心史观认为社会意识决定社会存在，英雄人物主宰历史发展。A项正确，上帝创造人类，意思是上帝是世界的本原，认为社会意识决定社会存在。B项正确，历史是英雄创造的，意思是英雄造时势，认为社会意识决定社会存在。C项错误，社会存在决定社会意识，体现的是唯物史观。D项错误，人民是历史的创造者，体现的是群众史观。故正确答案为AB。","
来源:2017年10月21日吉林省白山市事业单位考试《公共基础知识》试卷（精选）第50题","
出错率：71.24%","
易错选项：3"
问题:学习马克思主义基本原理的根本方法是（  ）。,,"
选项：['A', '.', '认', '真', '学', '习', '马', '克', '思', '主', '义', '著', '作', '\n', 'B', '.', '—', '切', '从', '实', '际', '出', '发', '\n', 'C', '.', '理', '论', '联', '系', '实', '际', '\n', 'D', '.', '实', '事', '求', '是', '\n']","
答案：2","
【解析】学习马克思主义基本原理的根本方法：理论联系实际。第一，理论联系实际要求我们要刻苦钻研，切实掌握马克思主义的基本理论、立场、观点和方法，这是理论联系实际的必要前提。 第二，坚持和弘扬理论联系实际的学风，是学习马克思主义的根本方法。理论联系实际要求我们要联系当前建设有中国特色社会主义的实际，去认识、分析和解决社会主义建设过程中所面临的许许多多的问题。 第三，用科学的态度对待马克思主义。贯彻理论联系实际的原则，必须反对教条主义和实用主义。教条主义从本本出发，把个别的观点和结论当作万古不变的教条。故正确答案为C。","
来源:2014年7月河北省衡水市直属事业单位考试《公共基础知识》题第7题","
出错率：50.38%","
易错选项：1"
问题:朱熹的观气“理生万物”与陆九渊等人的观点“吾心便是宇宙，宇宙便是吾心”争论的焦点在于（    ）。,,"
选项：['A', '.', '哲', '学', '基', '本', '派', '别', '的', '分', '歧', '\n', 'B', '.', '唯', '物', '论', '与', '唯', '心', '论', '的', '分', '歧', '\n', 'C', '.', '唯', '物', '辩', '证', '法', '和', '形', '而', '上', '学', '的', '分', '歧', '\n', 'D', '.', '客', '观', '唯', '心', '主', '义', '与', '主', '观', '唯', '心', '主', '义', '的', '分', '歧', '\n']","
答案：3","
【解析】本题考查马克思主义哲学。“理生万物”意思是万物由理产生，万物由理主宰，本质是意识决定物质，属于客观唯心主义；“吾心便是宇宙，宇宙便是吾心”意为我所看到、所听到、所触摸到的或所感知到的一切，就是这个宇宙的全部。万事万物乃至这个宇宙，是因为被我看到、被我听到、被我触摸到或者被我感知到才存在的，属于主观唯心主义。故正确答案为D。","
来源:2020年7月25日江西省南昌市事业单位考试《综合基础知识》试卷（网友回忆版）第35题","
出错率：71.31%","
易错选项：1"
问题:客观实在性是马克思主义哲学区别于其他哲学的最主要特征。(  ),,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：1","
【解析】马克思主义哲学以实践的观点为基础，合理地解决了思维与存在的关系问题，从而实现了唯物论和辩证法的统一以及唯物主义认识论和本体论的统一。所以，实践性是马克思主义哲学区别于其他哲学的最重要特征。故表述错误。","
来源:2014年7月云南省大理州事业单位考试《公共基础知识》题第94题","
出错率：52.34%","
易错选项：0"
问题:“人的意志高于一切，决定一切”所体现的是（    ）的观点。,,"
选项：['A', '.', '主', '观', '唯', '心', '主', '义', '\n', 'B', '.', '机', '械', '唯', '物', '主', '义', '\n', 'C', '.', '辩', '证', '唯', '物', '主', '义', '\n', 'D', '.', '客', '观', '唯', '心', '主', '义', '\n']","
答案：0","
【解析】本题考查马克思主义哲学。题干认为人的主观意志决定一切，人的主观意志是世界中事物产生和存在的根源与基础，决定外部世界中的一切事物，这是主观唯心主义的表现。故正确答案为A。","
来源:2020年7月25日江西省南昌市事业单位考试《综合基础知识》试卷（网友回忆版）第36题","
出错率：90.55%","
易错选项：3"
问题:掌握辩证唯物主义和历史唯物主义从本质意义上是使人（  ）。,,"
选项：['A', '.', '正', '确', '掌', '握', '一', '切', '科', '学', '文', '化', '知', '识', '\n', 'B', '.', '提', '供', '认', '识', '社', '会', '的', '一', '个', '选', '择', '模', '式', '\n', 'C', '.', '能', '解', '决', '现', '实', '生', '活', '中', '的', '一', '切', '问', '题', '\n', 'D', '.', '提', '高', '道', '德', '素', '养', '和', '精', '神', '境', '界', '，', '正', '确', '认', '识', '社', '会', '现', '象', '\n']","
答案：3","
【解析】辩证唯物主义和历史唯物主义本身既是科学的世界观，又是系统化的方法论。掌握辩证唯物主义和历史唯物主义从本质意义上是为人们正确认识自然界和人类社会提供指导，提高人们的道德素养、精神境界和认识社会现象的能力。A、C两项说法过于绝对，错误。B项表述并不是掌握辩证唯物主义和历史唯物主义的本质意义。故正确答案为D。","
来源:2014年5月四川省宜宾市事业单位考试《公共基础知识》题（精选）第35题","
出错率：73.17%","
易错选项：1"
问题:被恩格斯誉为19世纪自然科学三大发现的是（  ）。,,"
选项：['A', '.', '细', '胞', '学', '说', '\n', 'B', '.', '生', '物', '进', '化', '论', '\n', 'C', '.', '能', '量', '守', '恒', '与', '转', '化', '定', '律', '\n', 'D', '.', '物', '质', '不', '灭', '定', '律', '\n']","
答案：0,1,2","
【解析】革命导师恩格斯曾把细胞学说与能量守恒和转换定律、达尔文的自然选择学说并誉为19 世纪最重大的三大自然科学发现。故正确答案为ABC。","
来源:2014年5月四川省宜宾市事业单位考试《公共基础知识》题（精选）第71题","
出错率：82.04%","
易错选项：3"
